Formula,MP band gap (eV),formation energy per atom (eV),valence band edge (SHE),conduction band edge (SHE),link(s)/Reference(s),synthesized
AlCuO2,1.8217,-2.428758102,1.826421318,0.004721318,www.dx.doi.org/10.1524/zkri.1983.165.1-4.313,Cu2O + Al2O3 + PbO at 900 C for 48-96 h
AlTeI7,1.8759,-0.386969721,1.127079026,-0.748820974,"Beck, J.; Fischer, A. Se Br3 (Al Br4) und Te I3 (Al I4) - zwei weitere Vertreter des S Cl3 (Al Cl4)-Strukturtyps Zeitschrift fuer Anorganische und Allgemeine Chemie 621 (1995) 1042-1046",SeBr4 + AlBr3 in sealed ampule at 150 C
BaCu2O2,1.3793,-1.622989798,1.119347591,-0.259952409,"Teske, C L; Mueller-Buschbaum, Hk Zur Kenntnis von Ba Cu2 O2 Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) 27 (1972) 296-301",BaCuO2 (BaCO3 + CuO) + Cu at 1023 K for 2 d
BaFe18O27,0.7012,-1.81505505,0.891246643,0.190046643,"Braun, P.B. Crystal structure of Ba Fe18 O27 Nature (London) 170 (1952) 708-708",Mixture of barium oxide and Fe3O4 melted and slowly cooled
Ba2Fe2O5,1.4196,-2.395578758,1.741189514,0.321589514,www.dx.doi.org/10.1107/S0108767392007979,BaCO3 + Fe2O3 at 1373 K for 24 h under N2
Ba2In2S5,1.9866,-1.683921898,1.278886811,-0.707713189,"Eisenmann, B.; Hofmann, A. Schichtanionen in den Kristallstrukturen der isotypen Verbindungen Sr2(Ga2S5), Ba2(In2S5) und Ba2(In2Se5) Zeitschrift fuer Anorganische und Allgemeine Chemie 580 (1990) 151-159",Ba + In + S at 1150-1250 C in sealed ampule
Ba2In2Se5,1.3945,-1.262819169,0.814179949,-0.580320051,"Eisenmann, B.; Hofmann, A. Schichtanionen in den Kristallstrukturen der isotypen Verbindungen Sr2(Ga2S5), Ba2(In2S5) und Ba2(In2Se5) Zeitschrift fuer Anorganische und Allgemeine Chemie 580 (1990) 151-159",Ba + In + Se in sealed quartz ampule at 900 C for 50 h
Ba2PbO4,1.2232,-2.385308395,1.119542444,-0.103657556,"Weiss, R.; Faivre, R. Preparation et structure de plombates et stannates alcalinoterreux du type A2 B O4 Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1884 - 1965) 248 (1959) 106-108","BaCO3 + PbO2 at 450 C for 12 h, then 950 C for 12 h in sealed ampule, sintered in air for 24 h at 950 C"
Ba2SnSe3F2,1.7222,-2.256748696,1.316356703,-0.405843297,www.dx.doi.org/10.1021/ic051592v,BaF2 + BaS + SnSe + Se in sealed ampule at 700 C for 12 h
Ba3MnNb2O9,1.7673,-3.141522778,1.701109276,-0.066190724,"Liu, Y.; Withers, R.L.; Whichello, A.P.; Noren, L.; Ting, V.; Fitz Gerald, J.D.; Brink, F. A combined diffraction and dielectric properties investigation of Ba3 Mn Nb2 O9 complex perovskites Journal of Solid State Chemistry 178 (2005) 3389-3395","BaCO3 + MnO2 + Nb2O5 at 850 C for 20 h, then 1350 C for 5 d"
Ba3V2P6H6O24,1.7951,-2.638581117,1.760116588,-0.034983412,www.dx.doi.org/10.1107/S0108270199015735,BaCO3 + VCl3 + H3PO4 + Guanidinium carbonate + H2O at 453 K for 24 h in hydrothermal bomb
Ba3Zn5In2O11,1.6191,-2.196124298,1.669596329,0.050496329,www.dx.doi.org/10.1002/zaac.19936190322,BaO + AnO + In2O3 in HNO3 + KO2 at 750 C for 12 d
Ba6Mn5O16,1.2983,-2.530030504,1.415982942,0.117682942,"Boulahya, K.; Parras, M.; Gonzalez-Calbet, J.M.; Martinez, J.L. Synthesis and structural characterization of Ba6 Mn5 O16: the first layered oxide isostructural to Cs6 Ni5 F16 Chemistry of Materials (1,1989-) 14 (2002) 4006-4008",BaCO3 + MnO2 in air at 1250 C for 3 d and quenched
Ba6V4S11O5,1.9141,-2.090907812,1.460952675,-0.453147325,www.dx.doi.org/10.1107/S0108270196011687,BaS + V + V2O5 + S in sealed ampule at 1198 K for 4 d
Ba8Sb6S17,1.3935,-1.620129685,0.841871671,-0.551628329,"Doerrscheidt, W.; Schaefer, H. Zur Kenntnis des Bariumthioantimonats(III) Ba8 Sb6 S17 Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) 36 (1981) 410-414",BaS + Sb2O3 at 1120 K
BaAlSi5N7O2,1.5107,-1.086028649,1.134999044,-0.375700956,www.dx.doi.org/10.1021/cm031129l,Ba + Si3N4 + AlN  heated to 1600 C for 8 h
BaCaFe4O8,1.7786,-2.258135931,1.780639565,0.002039565,www.dx.doi.org/10.1016/0025-5408(71)90106-1,BaNO3 + CaCO3 + FeO in air at 1100 C
BaHfN2,1.2537,-1.532210689,0.882115333,-0.371584667,www.dx.doi.org/10.1006/jssc.1997.7686,"Ba3N2 (Ba in molten Na at 250 C, heated to 520 C under N2, then 350 C for 24 under vacuum), + HfN2 in Mo foil welded, heated to 1000 C for 5 d under Ar"
